paper_key,file,page,value,unit,topic,gravity_context,snippet
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,3,k,thermal condition,unspecified,"and other quantities used in the computations Property Symbol Value Density r 10,070 kg/m 3 Speciﬁc heat cp 144.87 J/kg K Thermal conductivity l 12.4 W/m K Thermal di/C128usivity a 8.500 10ÿ6 m2/s Viscosity m 1.85 10ÿ3 kg/m s Di/C128usion coecient for Sn in Bi D 2.7 10ÿ9 m2/s Thermal expansion coecient bT 1.25 10ÿ4 Kÿ1 Solutal expansion coecient bC ÿ0.305 (kg Sn/kg alloy)ÿ1 Temperature gradient in adiabatic zone G 20 K/mm Partition"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,4,K,thermal condition,unspecified,eat cp 144.87 J/kg K Thermal conductivity l 12.4 W/m K Thermal di/C128usivity a 8.500 10ÿ6 m2/s Viscosity m 1.85 10ÿ3 kg/m s Di/C128usion coecient for Sn in Bi D 2.7 10ÿ9 m2/s Thermal expansion coecient bT 1.25 10ÿ4 Kÿ1 Solutal expansion coecient bC ÿ0.305 (kg Sn/kg alloy)ÿ1 Temperature gradient in adiabatic zone G 20 K/mm Partition coecient k 0.029 at%/at% Slope of liquidus line m ÿ2.32 K/at% 2 In a more recent work we have includ
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,20,K/mm,thermal condition,unspecified,"ity m 1.85 10ÿ3 kg/m s Di/C128usion coecient for Sn in Bi D 2.7 10ÿ9 m2/s Thermal expansion coecient bT 1.25 10ÿ4 Kÿ1 Solutal expansion coecient bC ÿ0.305 (kg Sn/kg alloy)ÿ1 Temperature gradient in adiabatic zone G 20 K/mm Partition coecient k 0.029 at%/at% Slope of liquidus line m ÿ2.32 K/at% 2 In a more recent work we have included conduction in the quartz ampoule as part of the calculation procedure, and have imposed a temperature gra"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,0.029,at%,alloy composition,unspecified,"8usion coecient for Sn in Bi D 2.7 10ÿ9 m2/s Thermal expansion coecient bT 1.25 10ÿ4 Kÿ1 Solutal expansion coecient bC ÿ0.305 (kg Sn/kg alloy)ÿ1 Temperature gradient in adiabatic zone G 20 K/mm Partition coecient k 0.029 at%/at% Slope of liquidus line m ÿ2.32 K/at% 2 In a more recent work we have included conduction in the quartz ampoule as part of the calculation procedure, and have imposed a temperature gradient of 27 K/mm on the out- sid"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,2.32,K,thermal condition,unspecified,"m2/s Thermal expansion coecient bT 1.25 10ÿ4 Kÿ1 Solutal expansion coecient bC ÿ0.305 (kg Sn/kg alloy)ÿ1 Temperature gradient in adiabatic zone G 20 K/mm Partition coecient k 0.029 at%/at% Slope of liquidus line m ÿ2.32 K/at% 2 In a more recent work we have included conduction in the quartz ampoule as part of the calculation procedure, and have imposed a temperature gradient of 27 K/mm on the out- side of the ampoule. This leads to an in"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,8,27,K/mm,thermal condition,unspecified,"on coecient k 0.029 at%/at% Slope of liquidus line m ÿ2.32 K/at% 2 In a more recent work we have included conduction in the quartz ampoule as part of the calculation procedure, and have imposed a temperature gradient of 27 K/mm on the out- side of the ampoule. This leads to an internal gradient of ap- proximately 20 K/mm, as used here. The isotherms in the sample remain virtually orthogonal to the ampoule axis, although not in the ampoule itse"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,0.1,mm,length scale/microstructure,unspecified,a mesh size of 0.1 mm to ensure that 0.2 mm led to adequate accuracy. After 1000 s of solidiﬁcation the di/C128erences between the two solutions were 1.6% or less for the concentration and velocities. To validate the numerical solutions obta
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,0.2,mm,length scale/microstructure,unspecified,"a mesh size of 0.1 mm to ensure that 0.2 mm led to adequate accuracy. After 1000 s of solidiﬁcation the di/C128erences between the two solutions were 1.6% or less for the concentration and velocities. To validate the numerical solutions obtained using SOLCON, the"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,1.6,%,alloy composition,unspecified,"a mesh size of 0.1 mm to ensure that 0.2 mm led to adequate accuracy. After 1000 s of solidiﬁcation the di/C128erences between the two solutions were 1.6% or less for the concentration and velocities. To validate the numerical solutions obtained using SOLCON, the results were compared [13] with some obtained using the commercial ﬂow code CFX 4.1, 3 which is based on a pri"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,2.2,%,alloy composition,earth/1g,"formulation. Validation of the CFX results was in turn obtained by a comparison of calculations with an ex- periment in earth gravity using succinonitrile [14]. The agreement between SOLCON and CFX was excellent: within 2.2% for some relevant quantities. The computations were performed for 8000 s (ap- proximately 27 mm) of solidiﬁcation. When solidiﬁ- cation ﬁrst starts, the positive temperature gradient in front of the interface leads to a"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,27,mm,length scale/microstructure,earth/1g,"s with an ex- periment in earth gravity using succinonitrile [14]. The agreement between SOLCON and CFX was excellent: within 2.2% for some relevant quantities. The computations were performed for 8000 s (ap- proximately 27 mm) of solidiﬁcation. When solidiﬁ- cation ﬁrst starts, the positive temperature gradient in front of the interface leads to a negative density gradi- ent, and the predominant ﬂow direction is downwards (in the direction o"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,9,22,%,alloy composition,unspecified,"and the conse- quent reversal of the density gradient and velocity there, the segregation reduces and, starting at about 5000 s, reverses. At 8000 s, there is a strong segre- gation in which C at the top of the cavity is 22% greater than that at the bottom. Fig. 4(a) shows the changes in solute concentration along the interface at 2000, 3000, 5000 and 8000 s. The Fig. 2. Stream function contours and isotherms at (a) 2000, (b) 5000 and (c) 8"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,10,15,%,alloy composition,unspecified,"in segregation at the interface are shown in Fig. 4(b) (which depicts values computed every 10 s). Due to the convection across the interface induced by the thermal cell, the segregation increased from zero to just over 15% in 2000 s, with the maximum concen- tration occurring at the bottom of the ampoule. As the solutal cell increased in strength, the balance of con- vection and di/C128usion in the solute-rich interface led to a reduction"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,10,1,%,alloy composition,unspecified,"at the bottom of the ampoule. As the solutal cell increased in strength, the balance of con- vection and di/C128usion in the solute-rich interface led to a reduction of the segregation, which reached a mini- mum of about 1% after almost 5000 s. By this time, the solutal-driven reverse ﬂow cell had formed. As it increased in strength, the segregation increased in value again, but now in such a way that the maximum concentration occurred at"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,10,25,%,alloy composition,unspecified,"riven reverse ﬂow cell had formed. As it increased in strength, the segregation increased in value again, but now in such a way that the maximum concentration occurred at the top of the ampoule. By 8000 s, it had reached 25%. Fig. 5 shows contours of solute concentration in the solidiﬁed part of the sample after 2000, 5000 and 8000 s of solidiﬁcation. These contours indicate how a change in the segregation in the liquid a/C128ects the dis-"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,10,10,mg,thermal condition,unspecified,ion. The interface solute concentration CI calculated from Eq. (34) has been used to couple the temperature and solute ﬁelds by computing the melting temperature from Eq. (18). Solutions have been obtained for both 1 and 10 mg. Computations have been made for 3000 s of solidiﬁcation. The ﬁrst set of results is for a gravity level of 10 mg. Fig. 6 shows the history of the computed cell average concentration in the liquid portion of the partial
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,12,3.34,mm/s,growth/velocity,unspecified,"puted using both constant and concentration-depen- dent melting temperatures. For constant Tm, the inter- face or growth velocity is the same as the furnace pulling velocity, namely 3.34 mm/s. However, with a concentration-dependent melting temperature, the solute build-up during solidiﬁcation causes a decrease in the melting temperature and a consequent reduction Fig. 5. Contours of solute concentration in"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,20,K/mm,thermal condition,unspecified,"solute concentration and corresponding values of melting temperature at the mid-height of the interface are shown in Fig. 8. The solid lines are results obtained with a temperature gradient, G, in the transition zone of 20 K/mm. The interface solute concentration C I rises during solidiﬁ- cation from 1 at% to about 10 at% causing a decrease in the melting temperature of about 21 8C. After about 2800 s of solidiﬁcation, the results showed oscil"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,1,at%,alloy composition,unspecified,"eight of the interface are shown in Fig. 8. The solid lines are results obtained with a temperature gradient, G, in the transition zone of 20 K/mm. The interface solute concentration C I rises during solidiﬁ- cation from 1 at% to about 10 at% causing a decrease in the melting temperature of about 21 8C. After about 2800 s of solidiﬁcation, the results showed oscillations in C I, which can be explained by considering the con- dition necessary"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,10,at%,alloy composition,unspecified,"terface are shown in Fig. 8. The solid lines are results obtained with a temperature gradient, G, in the transition zone of 20 K/mm. The interface solute concentration C I rises during solidiﬁ- cation from 1 at% to about 10 at% causing a decrease in the melting temperature of about 21 8C. After about 2800 s of solidiﬁcation, the results showed oscillations in C I, which can be explained by considering the con- dition necessary for stable plane"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,3.04,mm,length scale/microstructure,unspecified,"onal supercooling criterion, can be estimated from Eq. (38). As noted above, during the initial tran- sient the actual growth velocity is not equal to the pulling velocity. From Fig. 7, the average growth vel- ocity R is 3.04 mms ÿ1. Recalling that the imposed tem- perature gradient G is 20 K/mm and noting that mÿ 2:32 K/at%, instability can be expected when the maximum value of the interface solute concen- tration exceeds 7.99 at%. Results co"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,32,K,thermal condition,unspecified,"n- sient the actual growth velocity is not equal to the pulling velocity. From Fig. 7, the average growth vel- ocity R is 3.04 mms ÿ1. Recalling that the imposed tem- perature gradient G is 20 K/mm and noting that mÿ 2:32 K/at%, instability can be expected when the maximum value of the interface solute concen- tration exceeds 7.99 at%. Results computed with G = 25 K/mm are shown by the dashed lines in Fig. 8. For this temperature gradi- en"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,7.99,at%,alloy composition,unspecified,"l- ocity R is 3.04 mms ÿ1. Recalling that the imposed tem- perature gradient G is 20 K/mm and noting that mÿ 2:32 K/at%, instability can be expected when the maximum value of the interface solute concen- tration exceeds 7.99 at%. Results computed with G = 25 K/mm are shown by the dashed lines in Fig. 8. For this temperature gradi- ent, the maximum value of CI permitted by the consti- tutional supercooling criterion is 9.99 at%. The concentratio"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,25,K/mm,thermal condition,unspecified,"that the imposed tem- perature gradient G is 20 K/mm and noting that mÿ 2:32 K/at%, instability can be expected when the maximum value of the interface solute concen- tration exceeds 7.99 at%. Results computed with G = 25 K/mm are shown by the dashed lines in Fig. 8. For this temperature gradi- ent, the maximum value of CI permitted by the consti- tutional supercooling criterion is 9.99 at%. The concentration had not reached this value at any"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,13,9.99,at%,alloy composition,unspecified,"n- tration exceeds 7.99 at%. Results computed with G = 25 K/mm are shown by the dashed lines in Fig. 8. For this temperature gradi- ent, the maximum value of CI permitted by the consti- tutional supercooling criterion is 9.99 at%. The concentration had not reached this value at any point on the interface by 3000 s. Thus supercooling was absent and the curves for C I t and Tm t correspond- ing to this gradient remain smooth. Fig. 9(a) shows the"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,10,mg,growth/velocity,unspecified,"solidiﬁcation is occurring. Instability appears earlier at 10 mg due to the higher solute segregation which builds up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the co"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,10,mg,growth/velocity,unspecified,"solidiﬁcation is occurring. Instability appears earlier at 10 mg due to the higher solute segregation which builds up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,20.6,%,alloy composition,unspecified,"solidiﬁcation is occurring. Instability appears earlier at 10 mg due to the higher solute segregation which builds up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 1"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,1,mg,growth/velocity,unspecified,"solidiﬁcation is occurring. Instability appears earlier at 10 mg due to the higher solute segregation which builds up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 10(a). The nu- mer"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,2.65,%,alloy composition,unspecified,"n is occurring. Instability appears earlier at 10 mg due to the higher solute segregation which builds up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 10(a). The nu- merical solution"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,9.4,at%,alloy composition,unspecified,"s up at the interface. By 2500 s, the segregation of solute at the interface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 10(a). The nu- merical solutions show instability when the solute con- centration exceeds 9.4 at%. On the discrete level, instability"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,8.7,%,alloy composition,unspecified,"rface at 10 mg was 20.6% whereas for 1 mgi t was 2.65%. The segregation at 10 mg is such that the concentration near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 10(a). The nu- merical solutions show instability when the solute con- centration exceeds 9.4 at%. On the discrete level, instability appears when the cell adjacent to the par- tially solidiﬁed control"
A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim,ReferencePapers/A computational study of transient plane front solidification of alloys in a Bridgman apparatus under microgravity conditions_Tim.pdf,15,9.4,at%,alloy composition,unspecified,"near the bottom of the cavity exceeds 9.4 at% (Fig. 10(b)) while at 1 mg the concentration remains less than 8.7% as shown in Fig. 10(a). The nu- merical solutions show instability when the solute con- centration exceeds 9.4 at%. On the discrete level, instability appears when the cell adjacent to the par- tially solidiﬁed control volume in the direction of increasing x becomes supercooled, i.e. the cell bound- ary temperature becomes less than"
