paper_key,file,page,value,unit,topic,gravity_context,snippet
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,21,20,wt%,alloy composition,earth/1g,"tly modify or mask other physical mechanisms because 2 flows in the liquid modify the solute transport in the melt, and generally prevent the formation 3 of steady solidification patterns with uniform features. For Al-20wt%Cu alloy, these effects are 4 very important when solidification is carried out in a vertical configuration and with a 5 temperature gradient parallel to the gravity vector (hereafter referred as 1g-downward). In that"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,31,0.46,wt%,alloy composition,microgravity/space,"bottom and the solid at the top, inserted in the thermal field of the furnace. Images of axial and transverse direct observations for dendritic patterns are given as examples (Microgravity campaign onboard ISS ; SCN – 0.46 wt% Camphor ; G = 12 K/cm) Figure 1 Click here to access/download;Figure;Figure 1.docx"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,36,20,wt.%,alloy composition,microgravity/space,"Figure 6: Columnar solidification of Al-20wt.%Cu with a temperature gradient of about 150 K/cm between the two heaters and a cooling rate of 0.15 K/s on both heaters: (a) in microgravity conditions, (b) sample in horizontal position and (c) sample in vertical posi"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,37,20,wt%,alloy composition,earth-vs-microgravity comparison,"gure 7: (a) sketch of the mushy zone (MZ) showing the so-called “top of MZ” end “deep MZ” regions, (b) Measured fragmentation density for those two regions for 1g-upward and µg experiments during columnar growth of Al-20wt%Cu alloy, in a temperature gradient G = 15 K/mm and for a cooling rate R = 0.15 K/s). fL = 1 Ttip Top of MZ Deep MZ (a) 0 50 100 150 200 0-200 µm 200-4800 µm 1g - upward µg (Top of MZ) (Deep MZ) Fragmentation d"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,12,0.35,µm/s,growth/velocity,earth-vs-microgravity comparison,"riments is the shift of morphological 16 stability threshold associated to convect ion. On ground, the solid-liquid front remains planar 17 for pulling rates up to 1 µm/s, whereas morphological instability occurs below 0.35 µm/s in µg. 18 Such difference was already evidenced theoretically [67, 68] and experimentally [32, 67]. This 19 effect is classically explained considering a diffusive boundary layer in the liquid close to the 20 solid-l"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,12,1,µm/s,growth/velocity,earth-vs-microgravity comparison,". 15 The first striking point comparing µg and 1g experiments is the shift of morphological 16 stability threshold associated to convect ion. On ground, the solid-liquid front remains planar 17 for pulling rates up to 1 µm/s, whereas morphological instability occurs below 0.35 µm/s in µg. 18 Such difference was already evidenced theoretically [67, 68] and experimentally [32, 67]. This 19 effect is classically explained considering a diffu"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,13,4,µm/s,growth/velocity,earth-vs-microgravity comparison,"on ground. 4 The average primary spacing variation with pulling rate, for 1g and µg experiments, is 5 given in fig .3a. The interface shapes are given in the insets, thus evidencing two different 6 domains: below V = 4 µm/s, the interface is convex and the primary spacing at 1g is lower than 7 in µg; whereas above 4µm/s, the interface is concave and the primary spacing at 1g is larger 8 than in µg. At 4 µm/s, the interface is macroscopic"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,14,4,µm/s,growth/velocity,earth-vs-microgravity comparison,the distribution. 21 This enlargement is the result of spatial microstructure heterogeneity. This is illustrated for 22 example on fig.4 with the comparison of cell size distribution in µg and 1g conditions for V = 23 4 µm/s (G = 19 K/cm). The corresponding interface shapes for these experiments reveal that 24 the concavity is much larger on ground than in µg. The origin of this difference in interface 25 1 2 3 4 5 6 7 8
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,16,0.5,µm/s,growth/velocity,earth-vs-microgravity comparison,"ile, typical of a convecto -diffusive growth mode [76]. This evolution is 12 observed for all ground experiments but also surprisingly for microgravity experiments 13 performed at the lowest pulling rate (i.e. µg - V = 0.5 µm/s in fig.5). For these conditions, an 14 order of magnitude analysis of fluid flow [77, 78] shows that diffusive conditions can only be 15 obtained for a gravity level equal or lower than 10 -6g (fig.13 of Mota et al [5"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,16,4,µm/s,growth/velocity,microgravity/space,"of axial 6 macrosegregation. If the interface temperature keeps evolving, meaning that steady-state is not 7 reached, an additional source of axial macrosegregation must be considered. 8 Stabilization ( i.e. µg – V = 4 µm/s in fig.5) corresponds to a plateau of concentration 9 reached after the initial transient. It is typical of a purely diffusive mode and most microgravity 10 results follow this tendency. Absence of stabilization corre"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,33,2,µm/s,growth/velocity,earth-vs-microgravity comparison,er microgravity (■) and on Earth (∆). Insets: examples of macroscopic interface shape with corresponding convection loops. (b) Primary spacing histograms for V = 2 and 4 µm/s (G = 12 K/cm). 0.0 0.2 0.4 0.6 0.8 1.0 V = 2 µm/s Frequency 1g µg 200 300 400 500 600 0.0 0.2 0.4 0.6 0.8 1.0Frequency 200 300 400 500 600 V = 4 µm/s Primary spacing (µm) Figure 3 Revised Click here to access/download;Figure;Figure 3 - Revised.docx
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,33,4,µm/s,growth/velocity,earth-vs-microgravity comparison,(a) Primary spacing as function of pulling rate under microgravity (■) and on Earth (∆). Insets: examples of macroscopic interface shape with corresponding convection loops. (b) Primary spacing histograms for V = 2 and 4 µm/s (G = 12 K/cm). 0.0 0.2 0.4 0.6 0.8 1.0 V = 2 µm/s Frequency 1g µg 200 300 400 500 600 0.0 0.2 0.4 0.6 0.8 1.0Frequency 200 300 400 500 600 V = 4 µm/s Primary spacing (µm) Figure 3 Revised Click here to access/dow
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,34,4,µm/s,growth/velocity,earth-vs-microgravity comparison,"Figure 4 : a) and b) correspond to steady-state images of the cellular interface, respectively in µg and 1g, for V = 4 µm/s and G = 19 K/cm. The corresponding cell size maps (displaying the cell surface) are given respectively in c) and d). The color scale corresponds to apparent surface area given in µm². Figure 4 Click here to access/d"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,9,0.25,mm,length scale/microstructure,microgravity/space,"A detailed description of the facility has been given in 21 previous papers [25, 64] and only the main features are summarized below. The dimensions of 22 the sheet-like samples were 5 mm in width, 50 mm in length and 0.25 mm in thickness. The 23 sample thickness was chosen to have a good transmission of the X -ray beam and prevent the 24 superimposing of several grains at the same location so that the interpretation of radiographs is 25"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,9,5,mm,length scale/microstructure,microgravity/space,"rvation in microgravity conditions. A detailed description of the facility has been given in 21 previous papers [25, 64] and only the main features are summarized below. The dimensions of 22 the sheet-like samples were 5 mm in width, 50 mm in length and 0.25 mm in thickness. The 23 sample thickness was chosen to have a good transmission of the X -ray beam and prevent the 24 superimposing of several grains at the same location so that the"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,9,50,mm,length scale/microstructure,microgravity/space,"ogravity conditions. A detailed description of the facility has been given in 21 previous papers [25, 64] and only the main features are summarized below. The dimensions of 22 the sheet-like samples were 5 mm in width, 50 mm in length and 0.25 mm in thickness. The 23 sample thickness was chosen to have a good transmission of the X -ray beam and prevent the 24 superimposing of several grains at the same location so that the interpretation"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,36,1,mm,length scale/microstructure,microgravity/space,solidification front. The white arrow pointing upward indicate the fragment motion. The reference time t0 corresponds to the application of the cooling rate. (a1) (a2) (a3) (a4) (b1) (b2) (b3) (b4) (c1) (c2) (c3) (c4) 1 mm µg g g t0 + 60 s t0 + 102 s t0 + 122 s t0 + 152 s t0 + 45 s t0 + 77 s t0 + 112 s t0 + 150 s t0 + 135 s t0 + 157 s t0 + 187 s t0 + 237 s Figure 6 Click here to access/download;Figure;Figure 6.docx
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,37,0-200,µm,length scale/microstructure,earth-vs-microgravity comparison,"egions for 1g-upward and µg experiments during columnar growth of Al-20wt%Cu alloy, in a temperature gradient G = 15 K/mm and for a cooling rate R = 0.15 K/s). fL = 1 Ttip Top of MZ Deep MZ (a) 0 50 100 150 200 0-200 µm 200-4800 µm 1g - upward µg (Top of MZ) (Deep MZ) Fragmentation density (x 10 9 events/m 3 ) (b) fL  0 Figure 7 Click here to access/download;Figure;Figure 7.docx"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,37,200-4800,µm,length scale/microstructure,earth-vs-microgravity comparison,"r 1g-upward and µg experiments during columnar growth of Al-20wt%Cu alloy, in a temperature gradient G = 15 K/mm and for a cooling rate R = 0.15 K/s). fL = 1 Ttip Top of MZ Deep MZ (a) 0 50 100 150 200 0-200 µm 200-4800 µm 1g - upward µg (Top of MZ) (Deep MZ) Fragmentation density (x 10 9 events/m 3 ) (b) fL  0 Figure 7 Click here to access/download;Figure;Figure 7.docx"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,14,19,K/cm,thermal condition,earth-vs-microgravity comparison,tion. 21 This enlargement is the result of spatial microstructure heterogeneity. This is illustrated for 22 example on fig.4 with the comparison of cell size distribution in µg and 1g conditions for V = 23 4 µm/s (G = 19 K/cm). The corresponding interface shapes for these experiments reveal that 24 the concavity is much larger on ground than in µg. The origin of this difference in interface 25 1 2 3 4 5 6 7 8 9 10 11 12
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,15,12,K/cm,thermal condition,earth-vs-microgravity comparison,"lly be well predicted by the Warren-Langer model [75]. 20 Interface recoil comparisons between results obtained on Earth (1g) and onboard the ISS 21 (µg) for different pulling rates and imposed t emperature gradient of 12 K/cm are presented in 22 fig.5. The fast motion observed at the beginning of the solidification is similar on ground and 23 in µg but the interface decelerates earlier on Earth. Whatever the pulling ra te is, front recoils"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,18,0.15,K/s,thermal condition,microgravity/space,"tion is emphasized. For the sake of relevant comparison, the experiments were carried 5 out with the same solidification parameters (average temperature gradient G = 15 K/mm 6 between the heaters and a cooling rate R = 0.15 K/s), which ease the analysis and give clear 7 conclusions. 8 Figure 6 displays the time evolution of the interface pattern during the solidification of an Al - 9 20 wt% Cu alloy in microgravity conditions (f irst row),"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,21,0.1,K/s,thermal condition,earth/1g,"ted in details. The original results presented in the present work concern an experiment 11 carried out on the same refined Al -20wt%Cu alloy sample but with different solidification 12 parameters (G = 7.5 K/mm and R = 0.1 K/s). 13 Figure 9 depicts a sequence of radiographs showing the representative behavior of this 1g-14 downward solidification experiment. In this experiment, a porosity defect grew into a hole as 15 visible at the bottom"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,21,7.5,K/mm,thermal condition,earth/1g,"ps was 10 presented in details. The original results presented in the present work concern an experiment 11 carried out on the same refined Al -20wt%Cu alloy sample but with different solidification 12 parameters (G = 7.5 K/mm and R = 0.1 K/s). 13 Figure 9 depicts a sequence of radiographs showing the representative behavior of this 1g-14 downward solidification experiment. In this experiment, a porosity defect grew into a hole as 15 visib"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,24,19,K,thermal condition,microgravity/space,ids and Crystallization) embarked on the ISS (International Space Station) were supported 17 by CNES (French Space Agency) and by NASA (National Aeronautics and Space 18 Administration) Grants No. NNX12AK54G and 80NSSC19K0135. 19 20 21 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,31,12,K/cm,thermal condition,microgravity/space,"the top, inserted in the thermal field of the furnace. Images of axial and transverse direct observations for dendritic patterns are given as examples (Microgravity campaign onboard ISS ; SCN – 0.46 wt% Camphor ; G = 12 K/cm) Figure 1 Click here to access/download;Figure;Figure 1.docx"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,33,12,K/cm,thermal condition,earth-vs-microgravity comparison,spacing as function of pulling rate under microgravity (■) and on Earth (∆). Insets: examples of macroscopic interface shape with corresponding convection loops. (b) Primary spacing histograms for V = 2 and 4 µm/s (G = 12 K/cm). 0.0 0.2 0.4 0.6 0.8 1.0 V = 2 µm/s Frequency 1g µg 200 300 400 500 600 0.0 0.2 0.4 0.6 0.8 1.0Frequency 200 300 400 500 600 V = 4 µm/s Primary spacing (µm) Figure 3 Revised Click here to access/download;Figure;
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,34,19,K/cm,thermal condition,earth-vs-microgravity comparison,"Figure 4 : a) and b) correspond to steady-state images of the cellular interface, respectively in µg and 1g, for V = 4 µm/s and G = 19 K/cm. The corresponding cell size maps (displaying the cell surface) are given respectively in c) and d). The color scale corresponds to apparent surface area given in µm². Figure 4 Click here to access/download;Figure;F"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,35,12,K/cm,thermal condition,earth-vs-microgravity comparison,1 Figure 5 : Interface position as a function of solidified length (L=Vt) at G=12K/cm for different pulling rates onboard ISS ( µg) and on ground ( 1g). Figure 5 Click here to access/download;Figure;Figure 5.docx
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,36,0.15,K/s,thermal condition,microgravity/space,"Figure 6: Columnar solidification of Al-20wt.%Cu with a temperature gradient of about 150 K/cm between the two heaters and a cooling rate of 0.15 K/s on both heaters: (a) in microgravity conditions, (b) sample in horizontal position and (c) sample in vertical position (same position of the solidification front for the three experiments). The white circles indicate"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,36,150,K/cm,thermal condition,microgravity/space,"Figure 6: Columnar solidification of Al-20wt.%Cu with a temperature gradient of about 150 K/cm between the two heaters and a cooling rate of 0.15 K/s on both heaters: (a) in microgravity conditions, (b) sample in horizontal position and (c) sample in vertical position (same position of the solidification front"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,37,0.15,K/s,thermal condition,earth-vs-microgravity comparison,"“deep MZ” regions, (b) Measured fragmentation density for those two regions for 1g-upward and µg experiments during columnar growth of Al-20wt%Cu alloy, in a temperature gradient G = 15 K/mm and for a cooling rate R = 0.15 K/s). fL = 1 Ttip Top of MZ Deep MZ (a) 0 50 100 150 200 0-200 µm 200-4800 µm 1g - upward µg (Top of MZ) (Deep MZ) Fragmentation density (x 10 9 events/m 3 ) (b) fL  0 Figure 7 Click here to access/download;F"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,37,15,K/mm,thermal condition,earth-vs-microgravity comparison,"owing the so-called “top of MZ” end “deep MZ” regions, (b) Measured fragmentation density for those two regions for 1g-upward and µg experiments during columnar growth of Al-20wt%Cu alloy, in a temperature gradient G = 15 K/mm and for a cooling rate R = 0.15 K/s). fL = 1 Ttip Top of MZ Deep MZ (a) 0 50 100 150 200 0-200 µm 200-4800 µm 1g - upward µg (Top of MZ) (Deep MZ) Fragmentation density (x 10 9 events/m 3 ) (b) fL  0 Figur"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,21,12,pa,thermophysical/mechanical property,earth/1g,"olumnar dend rite tips was 10 presented in details. The original results presented in the present work concern an experiment 11 carried out on the same refined Al -20wt%Cu alloy sample but with different solidification 12 parameters (G = 7.5 K/mm and R = 0.1 K/s). 13 Figure 9 depicts a sequence of radiographs showing the representative behavior of this 1g-14 downward solidification experiment. In this experiment, a porosity defect grew in"
Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation,ReferencePapers/Analysis of gravity effects during binary alloy directional solidification by comparison of microgravity and Earth experiments with in situ observation.pdf,23,24,pa,thermophysical/mechanical property,microgravity/space,"raphy and tomography), 22 and microgravity experimentation will play a major role in near-future work. Indeed, due to the 23 limited microgravity opportunities afforded to date, only a very narrow range of experimental 24 parameters have been investigated yet. It is expected that more microgravity opportunities 25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32"
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,ReferencePapers/Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas.pdf,4,1,Hz,field/power,microgravity/space,"of the alumina ampoule at 0, 20, 40, and 60 mm relative to the sample bottom and labeled TC1-4, respectively. They are ﬁxed in place using an alumina cement. Temperature readings from the TCs are logged at a frequency of 1 Hz. Sample cylinders of Al-4, 10, and 18 wt pct Cu were created using 99.9 pct pure aluminum and copper parent materials and provided by NASA’s Marshall Space Flight Center. No grain reﬁner was used in any of the samples."
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,ReferencePapers/Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas.pdf,3,123,mm,length scale/microstructure,earth/1g,"ent in the terrestrial furnace where the ampoule holder is at the bottom. The alumina ampoule has an inner diameter of 9.5 mm. Starting from the ampoule holder and moving upwards, there is a graphite rod with a length of 123 mm, capped by a 2 mm thick piece of graphite felt. The rod and felt provide signiﬁcant cooling to the sample due to the relatively high thermal conductivity of graphite. They also position the alloy sample within the ampou"
Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas,ReferencePapers/Benchmark Al-Cu Solidification Experiments in Microgravity and on Earth_Thomas.pdf,3,33.7,cm,length scale/microstructure,earth-vs-microgravity comparison,aces are used to conduct solidiﬁcation experiments in the presence of gravity on Earth and in microgravity aboard the ISS. Figure 1(a) shows the microgravity furnace during ampoule inser- tion. The SUBSA furnace measures 33.7 cm in length from the bottom of the ampoule holder to the furnace top. Temperature monitoring and furnace control are accomplished in real-time on the ground. A cross section of a thermal model of the furnace interior with
