paper_key,topic,gravity_context,snippet_count
Comparative study of directional solidification of Al-7 wt% Si alloys in Space and on Earth- Effects of gravity on dendrite growth and Columnar-to-equiaxed transition,alloy composition,microgravity/space,3
Comparative study of directional solidification of Al-7 wt% Si alloys in Space and on Earth- Effects of gravity on dendrite growth and Columnar-to-equiaxed transition,alloy composition,earth-vs-microgravity comparison,2
Comparative study of directional solidification of Al-7 wt% Si alloys in Space and on Earth- Effects of gravity on dendrite growth and Columnar-to-equiaxed transition,length scale/microstructure,microgravity/space,2
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,alloy composition,earth-vs-microgravity comparison,10
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,length scale/microstructure,earth-vs-microgravity comparison,8
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,alloy composition,microgravity/space,7
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,thermal condition,microgravity/space,7
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,length scale/microstructure,microgravity/space,5
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,thermophysical/mechanical property,microgravity/space,2
Comparative study of gravity effects in directional solidification of Al-3.5 wt.% Si and Al-10 wt.% Cu alloys_GUIYUAN 2,thermal condition,earth-vs-microgravity comparison,1
Containerless metal single-crystal growth via electromagnetic levitation,length scale/microstructure,microgravity/space,2
Convection Effects During Bulk Transparent Alloy Solidification in DECLIC-DSI and Phase-Field Simulations in Diffusive Conditions_MOTA,length scale/microstructure,earth/1g,2
Convection Effects During Bulk Transparent Alloy Solidification in DECLIC-DSI and Phase-Field Simulations in Diffusive Conditions_MOTA,thermal condition,earth-vs-microgravity comparison,2
Convection Effects During Bulk Transparent Alloy Solidification in DECLIC-DSI and Phase-Field Simulations in Diffusive Conditions_MOTA,alloy composition,earth-vs-microgravity comparison,1
Convection Effects During Bulk Transparent Alloy Solidification in DECLIC-DSI and Phase-Field Simulations in Diffusive Conditions_MOTA,thermal condition,microgravity/space,1
Crucible de-wetting during bridgman growth of semiconductors in microgravity,length scale/microstructure,earth-vs-microgravity comparison,2
Crucible de-wetting during bridgman growth of semiconductors in microgravity,alloy composition,earth/1g,1
Crucible de-wetting during bridgman growth of semiconductors in microgravity,alloy composition,microgravity/space,1
Crucible de-wetting during bridgman growth of semiconductors in microgravity,length scale/microstructure,microgravity/space,1
Crucible de-wetting during bridgman growth of semiconductors in microgravity,thermophysical/mechanical property,earth/1g,1
Crystal nucleation and dendrite growth of metastable phases in undercooled melts,growth/velocity,earth/1g,3
Crystal nucleation and dendrite growth of metastable phases in undercooled melts,thermal condition,microgravity/space,2
Crystal nucleation and dendrite growth of metastable phases in undercooled melts,alloy composition,earth/1g,1
Crystal nucleation and dendrite growth of metastable phases in undercooled melts,alloy composition,microgravity/space,1
Crystal nucleation and dendrite growth of metastable phases in undercooled melts,thermal condition,earth-vs-microgravity comparison,1
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,length scale/microstructure,microgravity/space,7
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,alloy composition,microgravity/space,3
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,thermal condition,microgravity/space,3
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,alloy composition,earth-vs-microgravity comparison,2
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,length scale/microstructure,earth/1g,2
DIRECTIONAL SOLIDIFICATION EXPERIMENTS IN MATERIALS SCIENCE LABORATORY OF THE INTERNATIONAL SPACE STATION,growth/velocity,microgravity/space,1
Dendritic Growth tip velocities and radii of curvature in microgravity,thermal condition,earth-vs-microgravity comparison,9
Dendritic Growth tip velocities and radii of curvature in microgravity,thermal condition,microgravity/space,8
Dendritic Growth tip velocities and radii of curvature in microgravity,thermal condition,earth/1g,3
Dendritic Growth tip velocities and radii of curvature in microgravity,thermophysical/mechanical property,earth-vs-microgravity comparison,2
Dendritic Growth tip velocities and radii of curvature in microgravity,field/power,microgravity/space,1
Dendritic Growth tip velocities and radii of curvature in microgravity,growth/velocity,earth-vs-microgravity comparison,1
Dendritic Growth tip velocities and radii of curvature in microgravity,length scale/microstructure,microgravity/space,1
Dendritic Growth tip velocities and radii of curvature in microgravity,thermophysical/mechanical property,earth/1g,1
Detached Bridgman Growth—A Standard Crystal Growth Method with a New Twist,length scale/microstructure,earth-vs-microgravity comparison,3
Detached Bridgman Growth—A Standard Crystal Growth Method with a New Twist,length scale/microstructure,microgravity/space,1
Detached_Solidification_in_Microgravity_A_Review,length scale/microstructure,earth/1g,58
Detached_Solidification_in_Microgravity_A_Review,length scale/microstructure,microgravity/space,45
Detached_Solidification_in_Microgravity_A_Review,thermal condition,microgravity/space,30
Detached_Solidification_in_Microgravity_A_Review,gravity/time/facility,microgravity/space,18
Detached_Solidification_in_Microgravity_A_Review,alloy composition,microgravity/space,12
Detached_Solidification_in_Microgravity_A_Review,gravity/time/facility,earth/1g,12
Detached_Solidification_in_Microgravity_A_Review,length scale/microstructure,earth-vs-microgravity comparison,11
Detached_Solidification_in_Microgravity_A_Review,thermal condition,earth/1g,11
Detached_Solidification_in_Microgravity_A_Review,alloy composition,earth/1g,9
Detached_Solidification_in_Microgravity_A_Review,thermal condition,earth-vs-microgravity comparison,8
Detached_Solidification_in_Microgravity_A_Review,thermophysical/mechanical property,microgravity/space,4
Detached_Solidification_in_Microgravity_A_Review,alloy composition,earth-vs-microgravity comparison,3
Detached_Solidification_in_Microgravity_A_Review,gravity/time/facility,earth-vs-microgravity comparison,3
Detached_Solidification_in_Microgravity_A_Review,mechanical property,earth/1g,2
Detached_Solidification_in_Microgravity_A_Review,thermophysical/mechanical property,earth/1g,1
Directional solidification microstructures in diffusive and convective regimes_Trivedi,length scale/microstructure,microgravity/space,11
Directional solidification microstructures in diffusive and convective regimes_Trivedi,alloy composition,microgravity/space,2
Directional solidification microstructures in diffusive and convective regimes_Trivedi,growth/velocity,microgravity/space,1
Directional solidification microstructures in diffusive and convective regimes_Trivedi,thermal condition,microgravity/space,1
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,alloy composition,microgravity/space,8
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,length scale/microstructure,earth/1g,6
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,thermal condition,microgravity/space,5
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,alloy composition,earth-vs-microgravity comparison,4
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,length scale/microstructure,earth-vs-microgravity comparison,3
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,length scale/microstructure,microgravity/space,3
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,alloy composition,earth/1g,2
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,thermal condition,earth/1g,2
Directional solidification of Al-1.5 wt% Ni alloys under diffusion transport in space_Thi,thermal condition,earth-vs-microgravity comparison,1
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,length scale/microstructure,microgravity/space,10
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,alloy composition,microgravity/space,8
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,length scale/microstructure,earth-vs-microgravity comparison,4
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,thermal condition,earth-vs-microgravity comparison,4
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,growth/velocity,earth-vs-microgravity comparison,2
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,thermal condition,microgravity/space,2
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,growth/velocity,microgravity/space,1
Effect of microgravity on the solidification of aluminum–bismuth–tin immiscible alloys,length scale/microstructure,earth/1g,1
Effect of weak convection on lamellar spacing of eutectics,length scale/microstructure,microgravity/space,1
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,length scale/microstructure,microgravity/space,9
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,alloy composition,earth-vs-microgravity comparison,4
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,thermal condition,microgravity/space,4
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,alloy composition,microgravity/space,3
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,gravity/time/facility,microgravity/space,3
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,field/power,microgravity/space,2
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,thermophysical/mechanical property,earth-vs-microgravity comparison,2
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,gravity/time/facility,earth-vs-microgravity comparison,1
Electromagnetic Levitation Part III- Thermophysical Property Measurements in Microgravity,length scale/microstructure,earth-vs-microgravity comparison,1
Electromagnetic levitation containerless processing of metallic materials in microgravity- rapid solidification,length scale/microstructure,microgravity/space,7
Electromagnetic levitation containerless processing of metallic materials in microgravity- rapid solidification,thermal condition,microgravity/space,5
Electromagnetic levitation containerless processing of metallic materials in microgravity- rapid solidification,alloy composition,microgravity/space,4
Electromagnetic levitation containerless processing of metallic materials in microgravity- rapid solidification,alloy composition,earth-vs-microgravity comparison,1
Electromagnetic levitation containerless processing of metallic materials in microgravity- rapid solidification,length scale/microstructure,earth-vs-microgravity comparison,1
Eutectic solidification patterns- Interest of microgravity environment,length scale/microstructure,earth-vs-microgravity comparison,1
Freezing Shrinkage Dynamics and Surface Dendritic Growth of Floating Refractory Alloy Droplets in Outer Space_HAIPENG,thermal condition,microgravity/space,8
Freezing Shrinkage Dynamics and Surface Dendritic Growth of Floating Refractory Alloy Droplets in Outer Space_HAIPENG,gravity/time/facility,microgravity/space,3
Freezing Shrinkage Dynamics and Surface Dendritic Growth of Floating Refractory Alloy Droplets in Outer Space_HAIPENG,alloy composition,microgravity/space,1
Freezing Shrinkage Dynamics and Surface Dendritic Growth of Floating Refractory Alloy Droplets in Outer Space_HAIPENG,length scale/microstructure,microgravity/space,1
Freezing Shrinkage Dynamics and Surface Dendritic Growth of Floating Refractory Alloy Droplets in Outer Space_HAIPENG,thermophysical/mechanical property,microgravity/space,1
ISOTHERMAL DENDRITIC GROWTH EXPERIMENT FLIGHT UNIT TESTS,length scale/microstructure,earth-vs-microgravity comparison,2
ISOTHERMAL DENDRITIC GROWTH EXPERIMENT FLIGHT UNIT TESTS,gravity/time/facility,microgravity/space,1
ISOTHERMAL DENDRITIC GROWTH EXPERIMENT FLIGHT UNIT TESTS,length scale/microstructure,microgravity/space,1
Immiscible alloys under microgravity conditions_RATKE,length scale/microstructure,microgravity/space,4
Immiscible alloys under microgravity conditions_RATKE,alloy composition,microgravity/space,3
Immiscible alloys under microgravity conditions_RATKE,thermal condition,microgravity/space,3
Immiscible alloys under microgravity conditions_RATKE,alloy composition,earth-vs-microgravity comparison,1
Immiscible alloys under microgravity conditions_RATKE,gravity/time/facility,microgravity/space,1
Immiscible alloys under microgravity conditions_RATKE,thermal condition,earth-vs-microgravity comparison,1
Impact of gravity on directional solidification of refined Al-20wt.%Cu alloy investigated by in situ X-radiography,alloy composition,microgravity/space,5
Impact of gravity on directional solidification of refined Al-20wt.%Cu alloy investigated by in situ X-radiography,length scale/microstructure,microgravity/space,4
Impact of gravity on directional solidification of refined Al-20wt.%Cu alloy investigated by in situ X-radiography,alloy composition,earth-vs-microgravity comparison,1
In situ experiments in microgravity and phase-field simulations of the lamellar-to-rod transition during eutectic growth,length scale/microstructure,microgravity/space,7
In situ experiments in microgravity and phase-field simulations of the lamellar-to-rod transition during eutectic growth,length scale/microstructure,earth/1g,1
In situ experiments in microgravity and phase-field simulations of the lamellar-to-rod transition during eutectic growth,thermal condition,microgravity/space,1
In situ experiments in microgravity and phase-field simulations of the lamellar-to-rod transition during eutectic growth,thermophysical/mechanical property,microgravity/space,1
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,thermal condition,microgravity/space,7
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,alloy composition,earth-vs-microgravity comparison,5
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,alloy composition,microgravity/space,2
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,length scale/microstructure,earth-vs-microgravity comparison,2
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,gravity/time/facility,microgravity/space,1
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,length scale/microstructure,microgravity/space,1
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,thermal condition,earth-vs-microgravity comparison,1
In situ investigation of the Columnar-to-Equiaxed Transition during directional solidification of Al–20wt%Cu alloys on Earth and in microgravity,thermal condition,earth/1g,1
Investigating Thermophysical Properties Under Microgravity- A Review,thermal condition,microgravity/space,4
Investigating Thermophysical Properties Under Microgravity- A Review,length scale/microstructure,microgravity/space,2
Investigating Thermophysical Properties Under Microgravity- A Review,alloy composition,microgravity/space,1
Investigating Thermophysical Properties Under Microgravity- A Review,gravity/time/facility,microgravity/space,1
Investigating Thermophysical Properties Under Microgravity- A Review,length scale/microstructure,earth-vs-microgravity comparison,1
Materials dataset from microgravity levitation experiments on the China Space Station,alloy composition,microgravity/space,10
Materials dataset from microgravity levitation experiments on the China Space Station,length scale/microstructure,earth/1g,3
Materials dataset from microgravity levitation experiments on the China Space Station,thermal condition,microgravity/space,2
Materials dataset from microgravity levitation experiments on the China Space Station,length scale/microstructure,earth-vs-microgravity comparison,1
Materials dataset from microgravity levitation experiments on the China Space Station,length scale/microstructure,microgravity/space,1
Materials dataset from microgravity levitation experiments on the China Space Station,thermophysical/mechanical property,earth/1g,1
Melt Growth of Semiconductor Crystals Under Microgravity,length scale/microstructure,microgravity/space,96
Melt Growth of Semiconductor Crystals Under Microgravity,thermal condition,microgravity/space,68
Melt Growth of Semiconductor Crystals Under Microgravity,alloy composition,microgravity/space,61
Melt Growth of Semiconductor Crystals Under Microgravity,gravity/time/facility,microgravity/space,37
Melt Growth of Semiconductor Crystals Under Microgravity,growth/velocity,microgravity/space,12
Melt Growth of Semiconductor Crystals Under Microgravity,thermal condition,earth/1g,11
Melt Growth of Semiconductor Crystals Under Microgravity,field/power,microgravity/space,10
Melt Growth of Semiconductor Crystals Under Microgravity,thermal condition,earth-vs-microgravity comparison,6
Melt Growth of Semiconductor Crystals Under Microgravity,alloy composition,earth/1g,4
Melt Growth of Semiconductor Crystals Under Microgravity,field/power,earth-vs-microgravity comparison,4
Melt Growth of Semiconductor Crystals Under Microgravity,gravity/time/facility,earth-vs-microgravity comparison,4
Melt Growth of Semiconductor Crystals Under Microgravity,length scale/microstructure,earth-vs-microgravity comparison,4
Melt Growth of Semiconductor Crystals Under Microgravity,thermophysical/mechanical property,microgravity/space,4
Melt Growth of Semiconductor Crystals Under Microgravity,growth/velocity,earth-vs-microgravity comparison,3
Melt Growth of Semiconductor Crystals Under Microgravity,length scale/microstructure,earth/1g,3
Melt Growth of Semiconductor Crystals Under Microgravity,alloy composition,earth-vs-microgravity comparison,2
Melt Growth of Semiconductor Crystals Under Microgravity,field/power,earth/1g,2
Melt Growth of Semiconductor Crystals Under Microgravity,gravity/time/facility,earth/1g,1
Melt Growth of Semiconductor Crystals Under Microgravity,growth/velocity,earth/1g,1
Melt Growth of Semiconductor Crystals Under Microgravity,thermophysical/mechanical property,earth-vs-microgravity comparison,1
Melt Growth of Semiconductor Crystals Under Microgravity,thermophysical/mechanical property,earth/1g,1
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,thermal condition,microgravity/space,17
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,thermal condition,earth-vs-microgravity comparison,6
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,alloy composition,earth-vs-microgravity comparison,4
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,thermal condition,earth/1g,4
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,alloy composition,earth/1g,3
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,gravity/time/facility,microgravity/space,3
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,length scale/microstructure,microgravity/space,3
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,alloy composition,microgravity/space,2
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,length scale/microstructure,earth-vs-microgravity comparison,2
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,length scale/microstructure,earth/1g,2
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,field/power,microgravity/space,1
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,gravity/time/facility,earth-vs-microgravity comparison,1
Metastable Liquid Properties and Surface Flow Patterns of Ultrahigh Temperature Alloys Explored In Outer Space,growth/velocity,microgravity/space,1
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station,length scale/microstructure,microgravity/space,12
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station,alloy composition,microgravity/space,7
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station,thermal condition,microgravity/space,3
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station,alloy composition,earth-vs-microgravity comparison,1
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station_AKAMATSU,length scale/microstructure,microgravity/space,12
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station_AKAMATSU,alloy composition,microgravity/space,7
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station_AKAMATSU,thermal condition,microgravity/space,3
Microgravity studies of solidification patterns in model transparent alloys onboard the International Space Station_AKAMATSU,alloy composition,earth-vs-microgravity comparison,1
Modeling of a space experiment on Bridgman solidification of concentrated semiconductor alloy,alloy composition,earth-vs-microgravity comparison,2
Modeling of a space experiment on Bridgman solidification of concentrated semiconductor alloy,alloy composition,microgravity/space,2
Modeling of a space experiment on Bridgman solidification of concentrated semiconductor alloy,gravity/time/facility,microgravity/space,2
Modeling of a space experiment on Bridgman solidification of concentrated semiconductor alloy,field/power,microgravity/space,1
Modeling of a space experiment on Bridgman solidification of concentrated semiconductor alloy,length scale/microstructure,microgravity/space,1
Natural convection in directional dendritic solidification of metallic alloys Beckermann,alloy composition,microgravity/space,4
Natural convection in directional dendritic solidification of metallic alloys Beckermann,length scale/microstructure,microgravity/space,3
Natural convection in directional dendritic solidification of metallic alloys Beckermann,alloy composition,earth/1g,1
Natural convection in directional dendritic solidification of metallic alloys Beckermann,gravity/time/facility,microgravity/space,1
Nucleation and phase-selection in undercooled melts ,alloy composition,earth/1g,2
Nucleation and phase-selection in undercooled melts ,length scale/microstructure,earth/1g,1
On:off directional solidification of near peritectic TRIS-NPG with a planar but tilted solid:liquid interface under microgravity conditions,length scale/microstructure,microgravity/space,6
On:off directional solidification of near peritectic TRIS-NPG with a planar but tilted solid:liquid interface under microgravity conditions,gravity/time/facility,microgravity/space,3
On:off directional solidification of near peritectic TRIS-NPG with a planar but tilted solid:liquid interface under microgravity conditions,length scale/microstructure,earth/1g,3
On:off directional solidification of near peritectic TRIS-NPG with a planar but tilted solid:liquid interface under microgravity conditions,alloy composition,microgravity/space,1
On:off directional solidification of near peritectic TRIS-NPG with a planar but tilted solid:liquid interface under microgravity conditions,field/power,microgravity/space,1
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,thermal condition,microgravity/space,23
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,thermal condition,earth-vs-microgravity comparison,6
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,thermal condition,earth/1g,4
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,length scale/microstructure,earth-vs-microgravity comparison,3
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,length scale/microstructure,microgravity/space,3
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,thermophysical/mechanical property,earth-vs-microgravity comparison,2
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,alloy composition,earth-vs-microgravity comparison,1
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,alloy composition,microgravity/space,1
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,field/power,microgravity/space,1
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,gravity/time/facility,earth-vs-microgravity comparison,1
Outer space cultivated regular eutectic cells with anomalous internal microstructures for rapidly solidifying Zr50V50 hypereutectic alloy,gravity/time/facility,microgravity/space,1
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,alloy composition,microgravity/space,8
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,length scale/microstructure,earth-vs-microgravity comparison,5
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,thermal condition,earth/1g,5
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,thermal condition,microgravity/space,4
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,alloy composition,earth/1g,3
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,alloy composition,earth-vs-microgravity comparison,2
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,gravity/time/facility,microgravity/space,2
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,length scale/microstructure,microgravity/space,2
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,thermal condition,earth-vs-microgravity comparison,2
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,length scale/microstructure,earth/1g,1
Overview of In Situ X-ray Studies of Light Alloy Solidification in Microgravity,thermophysical/mechanical property,microgravity/space,1
Precise Measurements of Thermophysical Properties of Liquid Ti–6Al–4V (Ti64) Alloy On Board the International Space Station,thermal condition,microgravity/space,5
Precise Measurements of Thermophysical Properties of Liquid Ti–6Al–4V (Ti64) Alloy On Board the International Space Station,alloy composition,microgravity/space,4
Precise Measurements of Thermophysical Properties of Liquid Ti–6Al–4V (Ti64) Alloy On Board the International Space Station,length scale/microstructure,microgravity/space,1
Precise Measurements of Thermophysical Properties of Liquid Ti–6Al–4V (Ti64) Alloy On Board the International Space Station,thermal condition,earth-vs-microgravity comparison,1
Progress+in+the+solidification+of+monotectic+alloys+under+the+microgravity+condition+of+space,alloy composition,microgravity/space,7
Progress+in+the+solidification+of+monotectic+alloys+under+the+microgravity+condition+of+space,thermal condition,microgravity/space,5
